CarTurnLog -- start condition -- 
 mTarget, -1230.295410,-510.817566
 mAngleToTarget, 2.244185
 mMoveAngleError, -3.141021
 mDistError, 0.620492
 mMoveAngleSgn, -1.000000
 mShoulderAngleError, -3.050342
 mShoulderAngleSgn, -1.000000
 mPosition, -1229.908447,-510.332520
 mIsPerfect, 0

CarTurnLog -- iterations -- 
 mPositionX, mPositionZ, mMoveAngle, mShoulderAngle, mSpeed, mT, mDistToTarget, mAngleToTarget, mMoveAngleError, mAbsMoveAngleError, mShoulderAngleError, mAbsShoulderAngleError
-1229.908447, -510.332520, -0.897980, -0.988399, 0.099794, 2.000000, 0.620492, 2.244185, -3.141021, 3.141021, -3.050342, 3.050342
-1229.783691, -510.175690, -0.898619, -1.079459, 0.100645, 4.000000, 0.820890, 2.243842, -3.140724, 3.140724, -2.959282, 2.959282
-1229.657959, -510.017426, -0.899259, -1.170518, 0.101496, 6.000000, 1.023019, 2.243506, -3.140420, 3.140420, -2.868222, 2.868222
-1229.531494, -509.858093, -0.899899, -1.261578, 0.101926, 8.000000, 1.226440, 2.243206, -3.140081, 3.140081, -2.777163, 2.777163
-1229.404907, -509.698334, -0.900539, -1.352638, 0.101926, 10.000000, 1.430271, 2.242872, -3.139775, 3.139775, -2.686103, 2.686103
-1229.278320, -509.538513, -0.901179, -1.443697, 0.101926, 12.000000, 1.634150, 2.242597, -3.139409, 3.139409, -2.595044, 2.595044
-1229.151855, -509.378601, -0.901819, -1.534757, 0.101926, 14.000000, 1.838025, 2.242301, -3.139065, 3.139065, -2.503984, 2.503984
-1229.025513, -509.218597, -0.902459, -1.625816, 0.101926, 16.000000, 2.041896, 2.241989, -3.138737, 3.138737, -2.412925, 2.412925
-1228.899292, -509.058533, -0.903099, -1.716876, 0.101926, 18.000000, 2.245739, 2.241675, -3.138412, 3.138412, -2.321865, 2.321865
-1228.773193, -508.898376, -0.903739, -1.807935, 0.101926, 20.000000, 2.449578, 2.241350, -3.138097, 3.138097, -2.230805, 2.230805
-1228.647217, -508.738129, -0.904379, -1.898995, 0.101926, 22.000000, 2.653413, 2.241018, -3.137789, 3.137789, -2.139746, 2.139746
-1228.521362, -508.577820, -0.905019, -1.990054, 0.101926, 24.000000, 2.857220, 2.240686, -3.137480, 3.137480, -2.048687, 2.048687
-1228.395508, -508.417419, -0.905659, -2.081114, 0.101926, 26.000000, 3.061100, 2.240381, -3.137146, 3.137146, -1.957627, 1.957627
-1228.269775, -508.256927, -0.906298, -2.172174, 0.101926, 28.000000, 3.264976, 2.240066, -3.136821, 3.136821, -1.866567, 1.866567
-1228.144165, -508.096375, -0.906938, -2.263233, 0.101926, 30.000000, 3.468824, 2.239750, -3.136497, 3.136497, -1.775507, 1.775507
-1228.018677, -507.935730, -0.907578, -2.354293, 0.101926, 32.000000, 3.672668, 2.239428, -3.136180, 3.136180, -1.684448, 1.684448
-1227.893311, -507.775024, -0.908218, -2.445353, 0.101926, 34.000000, 3.876486, 2.239105, -3.135863, 3.135863, -1.593388, 1.593388
-1227.768066, -507.614227, -0.908858, -2.536412, 0.101926, 36.000000, 4.080300, 2.238776, -3.135551, 3.135551, -1.502328, 1.502328
-1227.642822, -507.453339, -0.909498, -2.627472, 0.101926, 38.000000, 4.284186, 2.238466, -3.135221, 3.135221, -1.411269, 1.411269
-1227.517700, -507.292389, -0.910138, -2.718532, 0.101926, 40.000000, 4.488045, 2.238155, -3.134893, 3.134893, -1.320209, 1.320209
-1227.392700, -507.131348, -0.910778, -2.809592, 0.101926, 42.000000, 4.691901, 2.237837, -3.134570, 3.134570, -1.229149, 1.229149
-1227.267822, -506.970215, -0.911418, -2.900651, 0.101926, 44.000000, 4.895753, 2.237515, -3.134252, 3.134252, -1.138090, 1.138090
-1227.143066, -506.809021, -0.912058, -2.991711, 0.101926, 46.000000, 5.099579, 2.237193, -3.133935, 3.133935, -1.047030, 1.047030
-1227.018433, -506.647736, -0.912698, -3.082771, 0.101926, 48.000000, 5.303401, 2.236867, -3.133621, 3.133621, -0.955970, 0.955970
-1226.893799, -506.486389, -0.913338, 3.109355, 0.101926, 50.000000, 5.507273, 2.236558, -3.133290, 3.133290, -0.864911, 0.864911
-1226.769287, -506.324951, -0.913977, 3.018296, 0.101926, 52.000000, 5.711141, 2.236244, -3.132964, 3.132964, -0.773851, 0.773851
-1226.644897, -506.163422, -0.914617, 2.927236, 0.101926, 54.000000, 5.915007, 2.235926, -3.132642, 3.132642, -0.682791, 0.682791
-1226.520630, -506.001831, -0.915257, 2.836176, 0.101926, 56.000000, 6.118845, 2.235608, -3.132321, 3.132321, -0.591732, 0.591732
-1226.396484, -505.840149, -0.915897, 2.745116, 0.101926, 58.000000, 6.322681, 2.235285, -3.132003, 3.132003, -0.500672, 0.500672
-1226.272461, -505.678406, -0.916537, 2.654057, 0.101926, 60.000000, 6.526491, 2.234963, -3.131685, 3.131685, -0.409612, 0.409612
-1226.148560, -505.516571, -0.917177, 2.562997, 0.101926, 62.000000, 6.730298, 2.234637, -3.131371, 3.131371, -0.318552, 0.318552
-1226.024658, -505.354645, -0.917817, 2.471937, 0.101926, 64.000000, 6.934178, 2.234323, -3.131046, 3.131046, -0.227493, 0.227493
-1225.900879, -505.192657, -0.918457, 2.380878, 0.101926, 66.000000, 7.138032, 2.234007, -3.130722, 3.130722, -0.136433, 0.136433
-1225.777222, -505.030579, -0.919097, 2.289818, 0.101926, 68.000000, 7.341883, 2.233689, -3.130400, 3.130400, -0.045373, 0.045373
-1225.653687, -504.868439, -0.919737, 2.244445, 0.101926, 70.000000, 7.545708, 2.233369, -3.130080, 3.130080, 0.000000, 0.000000
-1225.530273, -504.706207, -0.920377, 2.244445, 0.101926, 72.000000, 7.749531, 2.233047, -3.129762, 3.129762, 0.000000, 0.000000
-1225.406982, -504.543884, -0.921017, 2.244445, 0.101926, 74.000000, 7.953352, 2.232723, -3.129447, 3.129447, 0.000000, 0.000000
-1225.283813, -504.381500, -0.921656, 2.244445, 0.101926, 76.000000, 8.157147, 2.232398, -3.129132, 3.129132, 0.000000, 0.000000
-1225.160645, -504.219025, -0.922296, 2.244445, 0.101926, 78.000000, 8.361015, 2.232082, -3.128807, 3.128807, 0.000000, 0.000000
-1225.037598, -504.056488, -0.922936, 2.244445, 0.101926, 80.000000, 8.564857, 2.231766, -3.128484, 3.128484, 0.000000, 0.000000
-1224.914673, -503.893860, -0.923576, 2.244445, 0.101926, 82.000000, 8.768697, 2.231446, -3.128163, 3.128163, 0.000000, 0.000000
-1224.791870, -503.731171, -0.924216, 2.244445, 0.101926, 84.000000, 8.972511, 2.231127, -3.127843, 3.127843, 0.000000, 0.000000
-1224.669189, -503.568390, -0.924856, 2.244445, 0.101926, 86.000000, 9.176323, 2.230805, -3.127525, 3.127525, 0.000000, 0.000000
-1224.546631, -503.405518, -0.925496, 2.244445, 0.101926, 88.000000, 9.380135, 2.230481, -3.127209, 3.127209, 0.000000, 0.000000
